排名,标题,英文标题,日文标题,综合评分,置信度,总投票数,网站数量,百分位数,类型,集数,开播日期,制作公司,类型标签,anilist_评分,anilist_投票数,anilist_排名,bangumi_评分,bangumi_投票数,bangumi_排名,filmarks_评分,filmarks_投票数,filmarks_排名,imdb_评分,imdb_投票数,imdb_排名,mal_评分,mal_投票数,mal_排名
1,Takopii no Genzai,Takopi's Original Sin,タコピーの原罪,1.716,0.691,93807,5,100.0,ONA,6.0,2025-06-28,"ENISHIYA, TBS","Drama, Psychological, Sci-Fi",8.8,14033.0,1.0,7.1,5422.0,14.0,8.4,5987,8,9.2,10771.0,1.0,8.97,57594,1
2,Kimetsu no Yaiba Movie: Mugen Jou-hen,Demon Slayer: Kimetsu no Yaiba Infinity Castle,劇場版 鬼滅の刃 無限城編,1.529,0.746,234852,5,98.7,Movie,3.0,2025-07-18,ufotable,"Action, Historical, Shounen, Supernatural",8.6,2777.0,4.0,7.7,399.0,7.0,8.4,32931,11,8.6,195153.0,5.0,8.72,3592,4
3,Kimetsu no Yaiba: Mugenjou-hen Movie 1 - Akaza Sairai,Demon Slayer: Kimetsu no Yaiba Infinity Castle,劇場版「鬼滅の刃」無限城編 第一章 猗窩座再来,1.528,0.746,234848,5,97.4,Movie,1.0,2025-07-18,"Aniplex, ufotable, ufotable, Shueisha","Action, Adventure, Drama, Supernatural",8.6,2777.0,3.0,7.7,399.0,6.0,8.4,32931,10,8.6,195153.0,4.0,8.72,3588,3
4,Kaoru Hana wa Rin to Saku,The Fragrant Flower Blooms With Dignity,薫る花は凛と咲く,1.463,0.637,38756,5,96.1,TV,13.0,2025-07-06,"Aniplex, CloverWorks, Kodansha, TOKYO MX, CloverWorks, BS11, Movic, Marui Group","Comedy, Drama, Romance",8.6,6050.0,2.0,7.0,1235.0,19.0,8.0,1171,22,8.8,2380.0,2.0,8.75,27920,2
5,Grand Blue Season 2,Grand Blue Dreaming Season 2,ぐらんぶる Season 2,1.383,0.606,23084,5,94.7,TV,12.0,2025-07-08,"Zero-G, Liber, NBCUniversal Entertainment Japan, Avex Pictures, Kodansha, JR Higashi Nihon Kikaku, Zero-G, Mainichi Broadcasting System, qooop, Saber Links","Comedy, Slice of Life, Sports",8.3,2287.0,5.0,7.6,2023.0,8.0,8.8,423,5,7.9,5512.0,19.0,8.71,12839,5
6,Seishun Buta Yarou wa Santa Claus no Yume wo Minai,Rascal Does Not Dream of Santa Claus,青春ブタ野郎はサンタクロースの夢を見ない,1.262,0.581,15133,5,93.4,TV,13.0,2025-07-05,"Aniplex, CloverWorks, ABC Animation, Nagoya Broadcasting Network, CloverWorks, TOKYO MX, KADOKAWA, BS11","Comedy, Mystery, Psychological, Romance, Supernatural",8.1,2328.0,10.0,7.1,990.0,15.0,8.8,397,4,8.5,661.0,6.0,8.34,10757,9
7,Guimi Zhi Zhu: Xiaochou Pian,Lord of Mysteries,诡秘之主 小丑篇,1.246,0.492,26567,4,92.1,ONA,13.0,2025-06-28,B.CMAY PICTURES,"Action, Adult Cast, Fantasy, Isekai, Mystery, Suspense, Urban Fantasy",8.2,3495.0,6.0,6.0,181.0,38.0,6.6,32,55,8.7,6537.0,3.0,8.46,16354,7
8,Sono Bisque Doll wa Koi wo Suru Season 2,My Dress-Up Darling Season 2,その着せ替え人形は恋をする Season 2,1.207,0.66,56074,5,90.8,TV,12.0,2025-07-06,"Aniplex, CloverWorks, Movic, TOKYO MX, BS11, CloverWorks, Square Enix","Comedy, Ecchi, Romance, Slice of Life",8.2,6070.0,8.0,7.8,1909.0,3.0,8.2,1189,15,7.9,20527.0,18.0,8.39,26379,8
9,My Melody & Kuromi,My Melody & Kuromi,My Melody & Kuromi,1.045,0.374,2324,4,89.5,ONA,12.0,2025-07-24,"Sanrio, Netflix, WIT STUDIO",Slice of Life,7.7,369.0,19.0,6.7,27.0,31.0,8.8,735,6,8.4,302.0,9.0,7.88,918,20
10,Dandadan 2nd Season,DAN DA DAN Season 2,ダンダダン 第2期,1.026,0.653,50514,5,88.2,TV,12.0,2025-07-04,"Science SARU, Mainichi Broadcasting System, Science SARU, Shueisha, Dentsu, Aniplex, Shogakukan-Shueisha Productions","Action, Comedy, Drama, Romance, Sci-Fi, Supernatural",8.2,7917.0,7.0,7.3,1658.0,11.0,8.2,1957,14,7.1,1576.0,43.0,8.49,37406,6
11,Hikaru ga Shinda Natsu,The Summer Hikaru Died,光が死んだ夏,0.973,0.615,26888,5,86.8,TV,12.0,2025-07-06,"KADOKAWA, CygamesPictures, Netflix, CyberAgent, CygamesPictures, Nippon Television Network","Horror, Mystery, Psychological, Supernatural, Thriller",8.0,3489.0,11.0,7.0,963.0,20.0,8.0,2155,23,8.1,1771.0,15.0,8.18,18510,12
12,New PANTY & STOCKING with GARTERBELT,New PANTY & STOCKING with GARTERBELT,New PANTY&STOCKING with GARTERBELT,0.962,0.741,216782,5,85.5,TV,13.0,2025-07-10,"TRIGGER, KADOKAWA, Good Smile Company, ANICI, Ultra Super Pictures","Action, Comedy, Ecchi, Supernatural",7.9,1085.0,13.0,8.2,1907.0,1.0,9.0,376,2,7.3,3391.0,38.0,7.74,210023,22
13,Yofukashi no Uta Season 2,Call of the Night Season 2,よふかしのうた Season 2,0.912,0.604,22417,5,84.2,TV,12.0,2025-07-04,"LIDENFILMS, Fuji TV, Aniplex, Shogakukan, Shogakukan-Shueisha Productions, Ultra Super Pictures, Tohan, Animax Broadcast Japan, Dentsu, Fuji Creative Corporation","Comedy, Psychological, Romance, Slice of Life, Supernatural",8.1,3066.0,9.0,7.7,1054.0,4.0,7.4,537,40,7.4,5113.0,31.0,8.26,12647,10
14,Ruri no Houseki,Ruri Rocks,瑠璃の宝石,0.9,0.546,8537,5,82.9,TV,13.0,2025-07-06,"Aniplex, Studio Bind, KADOKAWA, TOKYO MX, BS11, AT-X, FuRyu, Movic, Bit Grooove Promotion, EGG FIRM","Adventure, Slice of Life",7.4,1446.0,25.0,7.7,1743.0,5.0,8.6,513,7,8.1,90.0,16.0,7.68,4745,25
15,CITY THE ANIMATION,CITY THE ANIMATION,CITY THE ANIMATION,0.783,0.561,10902,5,81.6,TV,13.0,2025-07-07,"Kyoto Animation, Kyoto Animation, ABC Animation, Pony Canyon, Kodansha","Comedy, Slice of Life",7.7,1966.0,17.0,7.4,2394.0,10.0,7.8,575,29,7.7,165.0,22.0,7.83,5802,21
16,Clevatess: Majuu no Ou to Akago to Kabane no Yuusha,Clevatess,クレバテス-魔獣の王と赤子と屍の勇者,0.777,0.582,15548,5,80.3,TV,12.0,2025-07-02,"KADOKAWA, Lay-duce, Sammy, Crunchyroll, BS Nittele, Lay-duce, LINE Digital Frontier, AT-X, Culture Entertainment","Action, Drama, Fantasy",7.6,2314.0,20.0,6.9,764.0,25.0,8.0,205,20,8.1,577.0,13.0,7.91,11688,17
17,Clevatess: Majuu no Ou to Akago to Shikabane no Yuusha,Clevatess,クレバテス-魔獣の王と赤子と屍の勇者-,0.777,0.582,15548,5,78.9,TV,12.0,2025-07-02,Lay-duce,"Action, Fantasy",7.6,2314.0,21.0,6.9,764.0,26.0,8.0,205,21,8.1,577.0,14.0,7.91,11688,18
18,Gachiakuta,Gachiakuta,ガチアクタ,0.763,0.631,35181,5,77.6,TV,24.0,2025-07-06,"bones, Avex Pictures, bones film, Kodansha, DMM.com, CBC TV, Dentsu, Com2uS","Action, Drama, Fantasy",7.8,5613.0,14.0,5.8,367.0,44.0,8.0,891,24,8.3,2553.0,10.0,8.07,25757,13
19,Kaijuu 8-gou 2nd Season,Kaiju No. 8 Season 2,怪獣８号 第２期,0.76,0.643,42422,5,76.3,TV,11.0,2025-07-19,"Shueisha, Toho, Production I.G","Action, Sci-Fi",7.8,2999.0,15.0,5.8,319.0,46.0,8.2,877,19,8.3,24050.0,11.0,7.92,14177,16
20,Dr. STONE: SCIENCE FUTURE Part 2,Dr. STONE SCIENCE FUTURE Cour 2,Dr.STONE SCIENCE FUTURE 2クール,0.699,0.574,13611,5,75.0,TV,12.0,2025-07-10,"TMS Entertainment, Toho, TMS Entertainment, Shueisha","Action, Adventure, Comedy, Sci-Fi",8.0,2280.0,12.0,7.1,303.0,17.0,6.6,570,59,7.4,157.0,34.0,8.22,10301,11
21,Silent Witch: Chinmoku no Majo no Kakushigoto,Secrets of the Silent Witch,サイレント・ウィッチ 沈黙の魔女の隠しごと,0.652,0.589,17520,5,73.7,TV,13.0,2025-07-05,"Aniplex, KADOKAWA, Studio Gokumi, TOKYO MX, BS11, Movic","Adventure, Fantasy",7.7,2833.0,16.0,7.1,1856.0,16.0,7.8,554,27,7.0,304.0,49.0,7.99,11973,14
