排名,中文名,日文名,英文名,综合评分,海报图片,横幅图片,ANILIST_评分,ANILIST_投票数,ANILIST_排名,BANGUMI_评分,BANGUMI_投票数,BANGUMI_排名,FILMARKS_评分,FILMARKS_投票数,FILMARKS_排名,IMDB_评分,IMDB_投票数,IMDB_排名,MAL_评分,MAL_投票数,MAL_排名
1,章鱼哔的原罪,タコピーの原罪,Takopi's Original Sin,1.716,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx185407-7uzY4fA3hokP.jpg,https://s4.anilist.co/file/anilistcdn/media/anime/banner/185407-WOKgyadY4Pr1.jpg,8.8,14033,1,7.1,5422,13,8.4,5987,7,9.2,10771,1,8.97,57594,1
2,剧场版 鬼灭之刃 无限城篇 第一章 猗窝座再袭,劇場版「鬼滅の刃」無限城編 第一章 猗窩座再来,Demon Slayer: Kimetsu no Yaiba Infinity Castle,1.528,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx178788-0BVsKuCD6QtX.jpg,https://s4.anilist.co/file/anilistcdn/media/anime/banner/178788-uYQZgw1v7xyN.jpg,8.6,2777,2,7.7,399,4,8.4,32931,8,8.6,195153,4,8.72,3588,3
3,薰香花朵凛然绽放,薫る花は凛と咲く,The Fragrant Flower Blooms With Dignity,1.463,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx181444-Ut9DDUZdfHwg.jpg,https://s4.anilist.co/file/anilistcdn/media/anime/banner/181444-SBhwJNPxjHrr.jpg,8.6,6050,3,7.0,1235,18,8.0,1171,16,8.8,2380,2,8.75,27920,2
4,碧蓝之海 第二季,ぐらんぶる Season 2,Grand Blue Dreaming Season 2,1.383,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx182309-tThxqSRn3At1.jpg,https://s4.anilist.co/file/anilistcdn/media/anime/banner/182309-kvcHexJjshIV.jpg,8.3,2287,4,7.6,2023,7,8.8,423,3,7.9,5512,15,8.71,12839,4
5,青春笨蛋少年不做圣诞服女郎的梦,青春ブタ野郎はサンタクロースの夢を見ない,Rascal Does Not Dream of Santa Claus,1.262,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx171046-9leqLiNuOqNu.png,https://s4.anilist.co/file/anilistcdn/media/anime/banner/171046-PjeeUUfeaVyR.jpg,8.1,2328,8,7.1,990,14,8.8,397,4,8.5,661,5,8.34,10757,8
6,诡秘之主 小丑篇,诡秘之主 小丑篇,Lord of Mysteries,1.246,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx137667-zHFOF6qbpksP.jpg,https://s4.anilist.co/file/anilistcdn/media/anime/banner/137667-AhUoT3NFgbif.jpg,8.2,3495,5,6.0,181,32,6.6,32,49,8.7,6537,3,8.46,16354,6
7,更衣人偶坠入爱河 第二季,その着せ替え人形は恋をする Season 2,My Dress-Up Darling Season 2,1.207,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx154768-DHHvNd4MjV1p.jpg,https://s4.anilist.co/file/anilistcdn/media/anime/banner/154768-EuZd63IcqsVq.jpg,8.2,6070,6,7.8,1909,3,8.2,1189,11,7.9,20527,16,8.39,26379,7
8,胆大党 第二季,ダンダダン 第2期,DAN DA DAN Season 2,1.026,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx185660-uB8RUMBGovGr.jpg,https://s4.anilist.co/file/anilistcdn/media/anime/banner/185660-NdXFgzcYmcDz.jpg,8.2,7917,7,7.3,1658,10,8.2,1957,12,7.1,1576,38,8.49,37406,5
9,光死去的夏天,光が死んだ夏,The Summer Hikaru Died,0.973,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx177689-d0mB5nYgdnhi.jpg,https://s4.anilist.co/file/anilistcdn/media/anime/banner/177689-hbCQDYraujAG.jpg,8.0,3489,10,7.0,963,19,8.0,2155,17,8.1,1771,11,8.18,18510,11
10,新 吊带袜天使,New PANTY&STOCKING with GARTERBELT,New PANTY & STOCKING with GARTERBELT,0.962,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx151799-igwbH3AffgHc.jpg,https://s4.anilist.co/file/anilistcdn/media/anime/banner/151799-WsBD1zyaha5p.jpg,7.9,1085,12,8.2,1907,1,9.0,376,2,7.3,3391,31,7.74,210023,19
