Rank,Title,Title_Chinese,Title_English,Title_Japanese,Composite_Score,Confidence,Total_Votes,Website_Count,Percentile,Type,Episodes,Start_Date,Studios,Genres,ANILIST_Score,ANILIST_Votes,ANILIST_Rank,BANGUMI_Score,BANGUMI_Votes,BANGUMI_Rank,FILMARKS_Score,FILMARKS_Votes,FILMARKS_Rank,IMDB_Score,IMDB_Votes,IMDB_Rank,MAL_Score,MAL_Votes,MAL_Rank
1,Takopii no Genzai,章鱼哔的原罪,Takopi's Original Sin,タコピーの原罪,1.716,0.691,93807,5,100.0,ONA,6,2025-06-28,"ENISHIYA, TBS","Drama, Psychological, Sci-Fi",8.8,14033,1,7.1,5422,13,8.4,5987,7,9.2,10771,1,8.97,57594,1
2,Kimetsu no Yaiba: Mugenjou-hen Movie 1 - Akaza Sairai,剧场版 鬼灭之刃 无限城篇 第一章 猗窝座再袭,Demon Slayer: Kimetsu no Yaiba Infinity Castle,劇場版「鬼滅の刃」無限城編 第一章 猗窩座再来,1.528,0.746,234848,5,98.52941176470588,Movie,1,2025-07-18,"Aniplex, ufotable, ufotable, Shueisha","Action, Adventure, Drama, Supernatural",8.6,2777,2,7.7,399,4,8.4,32931,8,8.6,195153,4,8.72,3588,3
3,Kaoru Hana wa Rin to Saku,薰香花朵凛然绽放,The Fragrant Flower Blooms With Dignity,薫る花は凛と咲く,1.463,0.637,38756,5,97.05882352941177,TV,13,2025-07-06,"Aniplex, CloverWorks, Kodansha, TOKYO MX, CloverWorks, BS11, Movic, Marui Group","Comedy, Drama, Romance",8.6,6050,3,7.0,1235,18,8.0,1171,16,8.8,2380,2,8.75,27920,2
4,Grand Blue Season 2,碧蓝之海 第二季,Grand Blue Dreaming Season 2,ぐらんぶる Season 2,1.383,0.606,23084,5,95.58823529411765,TV,12,2025-07-08,"Zero-G, Liber, NBCUniversal Entertainment Japan, Avex Pictures, Kodansha, JR Higashi Nihon Kikaku, Zero-G, Mainichi Broadcasting System, qooop, Saber Links","Comedy, Slice of Life, Sports",8.3,2287,4,7.6,2023,7,8.8,423,3,7.9,5512,15,8.71,12839,4
5,Seishun Buta Yarou wa Santa Claus no Yume wo Minai,青春笨蛋少年不做圣诞服女郎的梦,Rascal Does Not Dream of Santa Claus,青春ブタ野郎はサンタクロースの夢を見ない,1.262,0.581,15133,5,94.11764705882352,TV,13,2025-07-05,"Aniplex, CloverWorks, ABC Animation, Nagoya Broadcasting Network, CloverWorks, TOKYO MX, KADOKAWA, BS11","Comedy, Mystery, Psychological, Romance, Supernatural",8.1,2328,8,7.1,990,14,8.8,397,4,8.5,661,5,8.34,10757,8
6,Guimi Zhi Zhu: Xiaochou Pian,诡秘之主 小丑篇,Lord of Mysteries,诡秘之主 小丑篇,1.246,0.492,26567,4,92.64705882352942,ONA,13,2025-06-28,B.CMAY PICTURES,"Action, Adult Cast, Fantasy, Isekai, Mystery, Suspense, Urban Fantasy",8.2,3495,5,6.0,181,32,6.6,32,49,8.7,6537,3,8.46,16354,6
7,Sono Bisque Doll wa Koi wo Suru Season 2,更衣人偶坠入爱河 第二季,My Dress-Up Darling Season 2,その着せ替え人形は恋をする Season 2,1.207,0.66,56074,5,91.17647058823529,TV,12,2025-07-06,"Aniplex, CloverWorks, Movic, TOKYO MX, BS11, CloverWorks, Square Enix","Comedy, Ecchi, Romance, Slice of Life",8.2,6070,6,7.8,1909,3,8.2,1189,11,7.9,20527,16,8.39,26379,7
8,Dandadan 2nd Season,胆大党 第二季,DAN DA DAN Season 2,ダンダダン 第2期,1.026,0.653,50514,5,89.70588235294117,TV,12,2025-07-04,"Science SARU, Mainichi Broadcasting System, Science SARU, Shueisha, Dentsu, Aniplex, Shogakukan-Shueisha Productions","Action, Comedy, Drama, Romance, Sci-Fi, Supernatural",8.2,7917,7,7.3,1658,10,8.2,1957,12,7.1,1576,38,8.49,37406,5
9,Hikaru ga Shinda Natsu,光死去的夏天,The Summer Hikaru Died,光が死んだ夏,0.973,0.615,26888,5,88.23529411764706,TV,12,2025-07-06,"KADOKAWA, CygamesPictures, Netflix, CyberAgent, CygamesPictures, Nippon Television Network","Horror, Mystery, Psychological, Supernatural, Thriller",8.0,3489,10,7.0,963,19,8.0,2155,17,8.1,1771,11,8.18,18510,11
10,New PANTY & STOCKING with GARTERBELT,新 吊带袜天使,New PANTY & STOCKING with GARTERBELT,New PANTY&STOCKING with GARTERBELT,0.962,0.741,216782,5,86.76470588235294,TV,13,2025-07-10,"TRIGGER, KADOKAWA, Good Smile Company, ANICI, Ultra Super Pictures","Action, Comedy, Ecchi, Supernatural",7.9,1085,12,8.2,1907,1,9.0,376,2,7.3,3391,31,7.74,210023,19
11,Yofukashi no Uta Season 2,彻夜之歌 第二季,Call of the Night Season 2,よふかしのうた Season 2,0.912,0.604,22417,5,85.29411764705883,TV,12,2025-07-04,"LIDENFILMS, Fuji TV, Aniplex, Shogakukan, Shogakukan-Shueisha Productions, Ultra Super Pictures, Tohan, Animax Broadcast Japan, Dentsu, Fuji Creative Corporation","Comedy, Psychological, Romance, Slice of Life, Supernatural",8.1,3066,9,7.7,1054,5,7.4,537,34,7.4,5113,26,8.26,12647,9
12,Ruri no Houseki,琉璃的宝石,Ruri Rocks,瑠璃の宝石,0.9,0.546,8537,5,83.82352941176471,TV,13,2025-07-06,"Aniplex, Studio Bind, KADOKAWA, TOKYO MX, BS11, AT-X, FuRyu, Movic, Bit Grooove Promotion, EGG FIRM","Adventure, Slice of Life",7.4,1446,21,7.7,1743,6,8.6,513,6,8.1,90,12,7.68,4745,21
13,CITY THE ANIMATION,小城日常,CITY THE ANIMATION,CITY THE ANIMATION,0.783,0.561,10902,5,82.35294117647058,TV,13,2025-07-07,"Kyoto Animation, Kyoto Animation, ABC Animation, Pony Canyon, Kodansha","Comedy, Slice of Life",7.7,1966,15,7.4,2394,8,7.8,575,22,7.7,165,18,7.83,5802,18
14,Clevatess: Majuu no Ou to Akago to Shikabane no Yuusha,克雷瓦提斯-魔兽之王与婴儿与尸之勇者-,Clevatess,クレバテス-魔獣の王と赤子と屍の勇者-,0.777,0.582,15548,5,80.88235294117648,TV,12,2025-07-02,Lay-duce,"Action, Fantasy",7.6,2314,18,6.9,764,22,8.0,205,18,8.1,577,13,7.91,11688,16
15,Gachiakuta,咔嗒咔嗒,Gachiakuta,ガチアクタ,0.763,0.631,35181,5,79.41176470588235,TV,24,2025-07-06,"bones, Avex Pictures, bones film, Kodansha, DMM.com, CBC TV, Dentsu, Com2uS","Action, Drama, Fantasy",7.8,5613,13,5.8,367,37,8.0,891,19,8.3,2553,8,8.07,25757,12
16,Kaijuu 8-gou 2nd Season,怪兽8号 第二季,Kaiju No. 8 Season 2,怪獣８号 第２期,0.76,0.643,42422,5,77.94117647058823,TV,11,2025-07-19,"Shueisha, Toho, Production I.G","Action, Sci-Fi",7.8,2999,14,5.8,319,38,8.2,877,13,8.3,24050,9,7.92,14177,15
17,Dr. STONE: SCIENCE FUTURE Part 2,石纪元 科学与未来 第2部分,Dr. STONE SCIENCE FUTURE Cour 2,Dr.STONE SCIENCE FUTURE 2クール,0.699,0.574,13611,5,76.47058823529412,TV,12,2025-07-10,"TMS Entertainment, Toho, TMS Entertainment, Shueisha","Action, Adventure, Comedy, Sci-Fi",8.0,2280,11,7.1,303,15,6.6,570,50,7.4,157,27,8.22,10301,10
18,Silent Witch: Chinmoku no Majo no Kakushigoto,Silent Witch 沉默魔女的秘密,Secrets of the Silent Witch,サイレント・ウィッチ 沈黙の魔女の隠しごと,0.652,0.589,17520,5,75.0,TV,13,2025-07-05,"Aniplex, KADOKAWA, Studio Gokumi, TOKYO MX, BS11, Movic","Adventure, Fantasy",7.7,2833,16,7.1,1856,16,7.8,554,23,7.0,304,42,7.99,11973,13
19,SAKAMOTO DAYS Part 2,坂本日常 第2部分,SAKAMOTO DAYS Part 2,SAKAMOTO DAYS 第２クール,0.599,0.462,14366,4,73.52941176470588,ONA,11,2025-07-15,TMS Entertainment,"Action, Comedy",7.7,2322,17,6.0,247,33,8.0,773,20,7.3,16,32,7.88,11024,17
20,Nukitashi THE ANIMATION,拔作岛,Nukitashi THE ANIMATION,ぬきたし THE ANIMATION,0.528,0.66,56548,5,72.05882352941177,TV,11,2025-07-19,"KADOKAWA, Passione, Yostar, AT-X, Qruppo","Action, Comedy, Drama, Ecchi, Romance",6.8,900,29,7.9,2789,2,9.2,100,1,6.9,187,45,7.34,52572,26
21,Jibaku Shounen Hanako-kun 2 Part 2,放学后少年花子君 续篇,Toilet-Bound Hanako-kun Season 2 Part 2,地縛少年花子くん２ 後編,0.447,0.534,7018,5,70.58823529411765,TV,,2025-07-06,"Lerche, TBS, Pony Canyon, Square Enix, Crunchyroll, Movic, Contents Seed, Studio Hibari","Action, Comedy, Drama, Mystery, Supernatural",7.5,627,19,6.1,316,31,7.8,131,24,7.5,3326,24,7.93,2618,14
22,"Tensei shitara Dainana Ouji Datta node, Kimama ni Majutsu wo Kiwamemasu 2nd Season",转生为第七王子，随心所欲的魔法学习之路 第二季,I Was Reincarnated as the 7th Prince so I Can Take My Time Perfecting My Magical Ability Season 2,転生したら第七王子だったので、気ままに魔術を極めます 第2期,0.411,0.56,10816,5,69.11764705882352,TV,,2025-07-10,Tsumugi Akita Animation Lab,"Adventure, Fantasy, Reincarnation",7.5,1582,20,7.0,424,20,8.2,312,14,6.8,2052,48,7.64,6446,22
23,Ame to Kimi to,和雨和你,With You and the Rain,雨と君と,0.381,0.522,5734,5,67.64705882352942,TV,12,2025-07-06,"Lesprit, NBCUniversal Entertainment Japan, BS Asahi, TV Asahi","Comedy, Slice of Life",7.1,895,26,6.9,530,23,7.6,451,29,7.8,102,17,7.45,3756,25
24,"Mikadono Sanshimai wa Angai, Choroi.",帝乃三姐妹原来很好搞定。,Dealing with Mikadono Sisters Is a Breeze,帝乃三姉妹は案外、チョロい。,0.299,0.539,7660,5,66.17647058823529,TV,12,2025-07-10,"Aniplex, P.A.WORKS, Mainichi Broadcasting System, SANKYO, JR Higashi Nihon Kikaku, Shogakukan, arma bianca, TOKYO MX, BS11, Movic","Comedy, Romance",7.3,1313,23,6.3,363,28,7.2,223,39,7.7,164,19,7.59,5597,23
25,Arknights: Rise from Ember,明日方舟：焰烬曙明,Arknights: Rise from Ember,アークナイツ【焔燼曙明/RISE FROM EMBER】,0.296,0.374,2307,4,64.70588235294117,TV,10,2025-07-04,Yostar Pictures,"Action, Fantasy",7.3,440,24,6.3,202,29,3.4,43,68,7.1,50,39,7.7,1615,20
26,"Food Court de, Mata Ashita.",明天，美食广场见。,See You Tomorrow at the Food Court,フードコートで、また明日。,0.237,0.411,4996,4,63.23529411764706,TV,6,2025-07-07,"Atelier Pontdarc, KADOKAWA, Movic, BS Nittele, AT-X, TOKYO MX, Toy's Factory, Sun Television","Comedy, Slice of Life",6.8,868,30,7.2,1270,11,7.8,297,25,6.6,29,53,7.02,2561,36
27,"Watashi ga Koibito ni Nareru Wake Naijan, Murimuri! (※Muri ja Nakatta!?)",我怎么可能成为你的恋人，不行不行！(※不是不可能！？),There's No Freaking Way I'll Be Your Lover! Unless...,わたしが恋人になれるわけないじゃん、ムリムリ! (※ムリじゃなかった!?),0.225,0.552,9413,5,61.76470588235294,TV,12,2025-07-08,"studio MOTHER, Shueisha DeNA Projects, Shueisha, REMOW","Comedy, Romance",7.4,1743,22,7.2,1955,12,8.2,220,15,8.1,109,14,6.16,5386,62
28,Ginga Tokkyuu Milky☆Subway,银河特急 银河☆地铁,Milky☆Subway: The Galactic Limited Express,銀河特急 ミルキー☆サブウェイ,0.18,0.342,1193,4,60.29411764705882,,12,2025-07-03,"Shin-Ei Animation, qooop","Adventure, Comedy, Fantasy, Sci-Fi",6.5,207,38,6.7,146,25,8.8,221,5,8.2,15,10,6.92,619,40
29,Tate no Yuusha no Nariagari Season 4,盾之勇者成名录 第四季,The Rising of the Shield Hero Season 4,盾の勇者の成り上がり Season 4,0.146,0.624,31063,5,58.82352941176471,TV,12,2025-07-09,"KADOKAWA, Kinema Citrus, Crunchyroll, Sammy, Nippon Columbia, NTT Docomo, Good Smile Company, AT-X, Frontier Works","Action, Adventure, Fantasy",7.1,1835,27,5.5,199,44,7.8,201,26,7.7,21104,20,7.34,7724,27
30,Fei Ren Zai 3rd Season,,Non-Human,非人哉 第三季,0.145,0.432,7763,4,57.35294117647059,ONA,12,2025-07-22,,"Comedy, Mythology, Supernatural",6.2,123,47,7.1,21,17,6.8,373,46,8.5,6099,6,7.16,1168,32
31,Karaoke Iko!,去K歌吧！,Let's Go Karaoke!,カラオケ行こ！,0.137,0.35,1397,4,55.88235294117647,TV,5,2025-07-24,"Doga Kobo, KADOKAWA","Comedy, Music",6.4,205,43,6.3,59,30,8.4,336,9,7.3,17,33,7.28,797,28
32,Shin Kidou Senki Gundam Wing: Operation 30th,,Mobile Suit Gundam Wing 30th Anniversary Video: Operation 30th,【30周年記念映像】新機動戦記ガンダムW-operation30th-,0.015,0.266,1544,3,54.41176470588235,,1,2025-07-25,Sunrise,"Action, Mecha, Music, Sci-Fi",6.9,206,28,,,,7.8,1223,27,,,,6.81,115,43
