排名,中文名,日文名,英文名,综合评分,海报图片,横幅图片,ANILIST_评分,ANILIST_投票数,ANILIST_排名,BANGUMI_评分,BANGUMI_投票数,BANGUMI_排名,FILMARKS_评分,FILMARKS_投票数,FILMARKS_排名,IMDB_评分,IMDB_投票数,IMDB_排名,MAL_评分,MAL_投票数,MAL_排名
1,章鱼哔的原罪,タコピーの原罪,Takopi's Original Sin,1.716,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx185407-7uzY4fA3hokP.jpg,https://s4.anilist.co/file/anilistcdn/media/anime/banner/185407-WOKgyadY4Pr1.jpg,8.8,14033,1,7.1,5422,14,8.4,5987,8,9.2,10771,1,8.97,57594,1
2,剧场版 鬼灭之刃 无限城篇 第一章 猗窝座再袭,劇場版 鬼滅の刃 無限城編,Demon Slayer: Kimetsu no Yaiba Infinity Castle,1.529,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/default.jpg,https://s4.anilist.co/file/anilistcdn/media/anime/banner/178788-uYQZgw1v7xyN.jpg,8.6,2777,4,7.7,399,7,8.4,32931,11,8.6,195153,5,8.72,3592,4
3,剧场版 鬼灭之刃 无限城篇 第一章 猗窝座再袭,劇場版「鬼滅の刃」無限城編 第一章 猗窩座再来,Demon Slayer: Kimetsu no Yaiba Infinity Castle,1.528,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx178788-0BVsKuCD6QtX.jpg,https://s4.anilist.co/file/anilistcdn/media/anime/banner/178788-uYQZgw1v7xyN.jpg,8.6,2777,3,7.7,399,6,8.4,32931,10,8.6,195153,4,8.72,3588,3
4,薰香花朵凛然绽放,薫る花は凛と咲く,The Fragrant Flower Blooms With Dignity,1.463,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx181444-Ut9DDUZdfHwg.jpg,https://s4.anilist.co/file/anilistcdn/media/anime/banner/181444-SBhwJNPxjHrr.jpg,8.6,6050,2,7.0,1235,19,8.0,1171,22,8.8,2380,2,8.75,27920,2
5,碧蓝之海 第二季,ぐらんぶる Season 2,Grand Blue Dreaming Season 2,1.383,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx182309-tThxqSRn3At1.jpg,https://s4.anilist.co/file/anilistcdn/media/anime/banner/182309-kvcHexJjshIV.jpg,8.3,2287,5,7.6,2023,8,8.8,423,5,7.9,5512,19,8.71,12839,5
6,青春笨蛋少年不做圣诞服女郎的梦,青春ブタ野郎はサンタクロースの夢を見ない,Rascal Does Not Dream of Santa Claus,1.262,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx171046-9leqLiNuOqNu.png,https://s4.anilist.co/file/anilistcdn/media/anime/banner/171046-PjeeUUfeaVyR.jpg,8.1,2328,10,7.1,990,15,8.8,397,4,8.5,661,6,8.34,10757,9
7,诡秘之主 小丑篇,诡秘之主 小丑篇,Lord of Mysteries,1.246,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx137667-zHFOF6qbpksP.jpg,https://s4.anilist.co/file/anilistcdn/media/anime/banner/137667-AhUoT3NFgbif.jpg,8.2,3495,6,6.0,181,38,6.6,32,55,8.7,6537,3,8.46,16354,7
8,更衣人偶坠入爱河 第二季,その着せ替え人形は恋をする Season 2,My Dress-Up Darling Season 2,1.207,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx154768-DHHvNd4MjV1p.jpg,https://s4.anilist.co/file/anilistcdn/media/anime/banner/154768-EuZd63IcqsVq.jpg,8.2,6070,8,7.8,1909,3,8.2,1189,15,7.9,20527,18,8.39,26379,8
9,美乐蒂&amp;库洛米,My Melody & Kuromi,My Melody & Kuromi,1.045,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx186043-nXyStyc58cFd.jpg,https://s4.anilist.co/file/anilistcdn/media/anime/banner/186043-o2JJIMlMuRIe.jpg,7.7,369,19,6.7,27,31,8.8,735,6,8.4,302,9,7.88,918,20
10,胆大党 第二季,ダンダダン 第2期,DAN DA DAN Season 2,1.026,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx185660-uB8RUMBGovGr.jpg,https://s4.anilist.co/file/anilistcdn/media/anime/banner/185660-NdXFgzcYmcDz.jpg,8.2,7917,7,7.3,1658,11,8.2,1957,14,7.1,1576,43,8.49,37406,6
11,光死去的夏天,光が死んだ夏,The Summer Hikaru Died,0.973,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx177689-d0mB5nYgdnhi.jpg,https://s4.anilist.co/file/anilistcdn/media/anime/banner/177689-hbCQDYraujAG.jpg,8.0,3489,11,7.0,963,20,8.0,2155,23,8.1,1771,15,8.18,18510,12
12,新 吊带袜天使,New PANTY&STOCKING with GARTERBELT,New PANTY & STOCKING with GARTERBELT,0.962,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx151799-igwbH3AffgHc.jpg,https://s4.anilist.co/file/anilistcdn/media/anime/banner/151799-WsBD1zyaha5p.jpg,7.9,1085,13,8.2,1907,1,9.0,376,2,7.3,3391,38,7.74,210023,22
13,彻夜之歌 第二季,よふかしのうた Season 2,Call of the Night Season 2,0.912,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx175914-VsbL90WzuqoM.jpg,https://s4.anilist.co/file/anilistcdn/media/anime/banner/175914-K0Hw6bg3Tf5i.jpg,8.1,3066,9,7.7,1054,4,7.4,537,40,7.4,5113,31,8.26,12647,10
14,琉璃的宝石,瑠璃の宝石,Ruri Rocks,0.9,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx180929-ytdzqbrOhots.jpg,https://s4.anilist.co/file/anilistcdn/media/anime/banner/180929-HUn5e8gpygL8.jpg,7.4,1446,25,7.7,1743,5,8.6,513,7,8.1,90,16,7.68,4745,25
15,小城日常,CITY THE ANIMATION,CITY THE ANIMATION,0.783,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx181841-9TcjIyZefot2.jpg,https://s4.anilist.co/file/anilistcdn/media/anime/banner/181841-aegccbKnNjxK.jpg,7.7,1966,17,7.4,2394,10,7.8,575,29,7.7,165,22,7.83,5802,21
16,克雷瓦提斯-魔兽之王与婴儿与尸之勇者-,クレバテス-魔獣の王と赤子と屍の勇者,Clevatess,0.777,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx178869-qiEz0gQD8H5N.png,https://s4.anilist.co/file/anilistcdn/media/anime/banner/178869-ZFn0hKphaLtk.jpg,7.6,2314,20,6.9,764,25,8.0,205,20,8.1,577,13,7.91,11688,17
17,克雷瓦提斯-魔兽之王与婴儿与尸之勇者-,クレバテス-魔獣の王と赤子と屍の勇者-,Clevatess,0.777,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx178869-qiEz0gQD8H5N.png,https://s4.anilist.co/file/anilistcdn/media/anime/banner/178869-ZFn0hKphaLtk.jpg,7.6,2314,21,6.9,764,26,8.0,205,21,8.1,577,14,7.91,11688,18
18,咔嗒咔嗒,ガチアクタ,Gachiakuta,0.763,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx178025-cWJKEsZynkil.jpg,https://s4.anilist.co/file/anilistcdn/media/anime/banner/178025-KH3NSrRChfGy.jpg,7.8,5613,14,5.8,367,44,8.0,891,24,8.3,2553,10,8.07,25757,13
19,怪兽8号 第二季,怪獣８号 第２期,Kaiju No. 8 Season 2,0.76,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx178754-Dgrub8xgC03M.jpg,https://s4.anilist.co/file/anilistcdn/media/anime/banner/178754-pzQw3EJ0DYO9.jpg,7.8,2999,15,5.8,319,46,8.2,877,19,8.3,24050,11,7.92,14177,16
20,石纪元 科学与未来 第2部分,Dr.STONE SCIENCE FUTURE 2クール,Dr. STONE SCIENCE FUTURE Cour 2,0.699,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx189117-EJQHOFjLoK2k.png,,8.0,2280,12,7.1,303,17,6.6,570,59,7.4,157,34,8.22,10301,11
21,Silent Witch 沉默魔女的秘密,サイレント・ウィッチ 沈黙の魔女の隠しごと,Secrets of the Silent Witch,0.652,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx179966-g0EU7rVe2Og7.jpg,https://s4.anilist.co/file/anilistcdn/media/anime/banner/179966-hf71VrF1zhPM.jpg,7.7,2833,16,7.1,1856,16,7.8,554,27,7.0,304,49,7.99,11973,14
22,坂本日常 第2部分,SAKAMOTO DAYS 第２クール,SAKAMOTO DAYS Part 2,0.599,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx184237-OJAksU2fsIPx.jpg,https://s4.anilist.co/file/anilistcdn/media/anime/banner/184237-SBj6UJvIWAOg.jpg,7.7,2322,18,6.0,247,40,8.0,773,26,7.3,16,39,7.88,11024,19
23,拔作岛,ぬきたし THE ANIMATION,Nukitashi THE ANIMATION,0.528,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx174188-fZg8iePD9Dca.jpg,https://s4.anilist.co/file/anilistcdn/media/anime/banner/174188-zHfBIXSeesMT.jpg,6.8,900,39,7.9,2789,2,9.2,100,1,6.9,187,55,7.34,52572,32
24,放学后少年花子君 续篇,地縛少年花子くん２ 後編,Toilet-Bound Hanako-kun Season 2 Part 2,0.447,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx189326-kaYdWFxyyYdx.jpg,https://s4.anilist.co/file/anilistcdn/media/anime/banner/189326-QgANtHkolp8i.jpg,7.5,627,22,6.1,316,37,7.8,131,28,7.5,3326,27,7.93,2618,15
25,转生为第七王子，随心所欲的魔法学习之路 第二季,転生したら第七王子だったので、気ままに魔術を極めます 第2期,I Was Reincarnated as the 7th Prince so I Can Take My Time Perfecting My Magical Ability Season 2,0.411,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx178090-1OOScJqXLjRd.png,https://s4.anilist.co/file/anilistcdn/media/anime/banner/178090-EgKftuHoDJB7.jpg,7.5,1582,23,7.0,424,23,8.2,312,17,6.8,2052,60,7.64,6446,26
26,转生为第七王子，随心所欲的魔法学习之路 第二季,転生したら第七王子だったので、気ままに魔術を極めます 第2期,I Was Reincarnated as the 7th Prince so I Can Take My Time Perfecting My Magical Ability Season 2,0.411,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx178090-1OOScJqXLjRd.png,https://s4.anilist.co/file/anilistcdn/media/anime/banner/178090-EgKftuHoDJB7.jpg,7.5,1582,24,7.0,424,24,8.2,312,18,6.8,2052,61,7.64,6446,27
27,和雨和你,雨と君と,With You and the Rain,0.381,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx180425-e5yNWog1hDuu.jpg,https://s4.anilist.co/file/anilistcdn/media/anime/banner/180425-l3CldufhygVc.jpg,7.1,895,31,6.9,530,27,7.6,451,35,7.8,102,20,7.45,3756,30
28,帝乃三姐妹原来很好搞定。,帝乃三姉妹は案外、チョロい。,Dealing with Mikadono Sisters Is a Breeze,0.299,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx178886-KjzSXyEB61zX.jpg,,7.3,1313,29,6.3,363,35,7.2,223,47,7.7,164,24,7.59,5597,28
29,明日方舟：焰烬曙明,アークナイツ 焔燼曙明,Arknights: RISE FROM EMBER,0.296,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx177175-cr5tlJIj7dEi.jpg,https://s4.anilist.co/file/anilistcdn/media/anime/banner/177175-8obfhwGOFXuk.jpg,7.3,440,27,6.3,202,33,3.4,43,76,7.1,50,44,7.7,1615,23
30,明日方舟：焰烬曙明,アークナイツ【焔燼曙明/RISE FROM EMBER】,Arknights: Rise from Ember,0.296,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx177175-cr5tlJIj7dEi.jpg,https://s4.anilist.co/file/anilistcdn/media/anime/banner/177175-8obfhwGOFXuk.jpg,7.3,440,28,6.3,202,34,3.4,43,77,7.1,50,46,7.7,1615,24
31,明天，美食广场见。,フードコートで、また明日。,See You Tomorrow at the Food Court,0.237,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx185519-cuRKYBlZ3uWw.jpg,https://s4.anilist.co/file/anilistcdn/media/anime/banner/185519-WRtGn9JOriG8.jpg,6.8,868,37,7.2,1270,12,7.8,297,30,6.6,29,63,7.02,2561,42
32,我怎么可能成为你的恋人，不行不行！(※不是不可能！？),わたしが恋人になれるわけないじゃん、ムリムリ! (※ムリじゃなかった!?),There's No Freaking Way I'll Be Your Lover! Unless...,0.225,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx184591-jRXZ29bN61Zc.jpg,,7.4,1743,26,7.2,1955,13,8.2,220,16,8.1,109,17,6.16,5386,70
33,银河特急 银河☆地铁,銀河特急 ミルキー☆サブウェイ,Milky☆Subway: The Galactic Limited Express,0.18,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx189069-mDKZPNUNKFOD.jpg,https://s4.anilist.co/file/anilistcdn/media/anime/banner/189069-t19Ag9Tqyy8Q.jpg,6.5,207,44,6.7,146,29,8.8,221,3,8.2,15,12,6.92,619,46
34,盾之勇者成名录 第四季,盾の勇者の成り上がり Season 4,The Rising of the Shield Hero Season 4,0.146,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx173780-O7v1YfXg61JT.png,,7.1,1835,32,5.5,199,54,7.8,201,31,7.7,21104,23,7.34,7724,31
35,Fei Ren Zai 3rd Season,非人哉 第三季,Non-Human,0.145,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx195886-fbClZwAQm4NR.jpg,https://s4.anilist.co/file/anilistcdn/media/anime/banner/120055-ac6f9OLH40Yj.jpg,6.2,123,58,7.1,21,18,6.8,373,54,8.5,6099,8,7.16,1168,38
36,去K歌吧！,カラオケ行こ！,Let's Go Karaoke!,0.137,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx183127-NuhBFFae2NYe.jpg,,6.4,205,50,6.3,59,36,8.4,336,12,7.3,17,40,7.28,797,33
37,Shin Kidou Senki Gundam Wing: Operation 30th,【30周年記念映像】新機動戦記ガンダムW-operation30th-,Mobile Suit Gundam Wing 30th Anniversary Video: Operation 30th,0.015,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx196482-LsLzWVLJThXc.jpg,https://s4.anilist.co/file/anilistcdn/media/anime/banner/196482-dMdm6A9A9SP1.jpg,6.9,206,33,,,,7.8,1223,33,,,,6.81,115,50
38,Douluo Dalu: Jiandao Chen Xin,斗罗大陆剧场版 剑道尘心,,0.001,,,,,,5.2,18,60,7.4,102,44,,,,7.15,124,39
39,与游戏中心的少女异文化交流的故事,ゲーセン少女と異文化交流,Cultural Exchange with a Game Centre Girl,-0.008,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx180794-rQGxkguEc2ov.png,,6.5,837,46,7.0,1322,21,7.4,129,41,7.5,75,28,6.84,3190,48
40,与游戏中心的少女异文化交流的故事,ゲーセン少女と異文化交流,Cultural Exchange With a Game Centre Girl,-0.008,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx180794-rQGxkguEc2ov.png,,6.5,837,47,7.0,1322,22,7.4,129,43,7.5,75,29,6.84,3190,49
41,欢迎光临流放者食堂！,追放者食堂へようこそ！,Welcome to the Outcast's Restaurant!,-0.022,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx185544-V9XoC8yJ906f.jpg,,6.7,1011,41,5.9,438,41,7.6,236,34,7.7,83,21,7.19,4596,37
42,不良少女,ばっどがーる,Bad Girl,-0.096,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx178675-cTYMOedSpXsJ.jpg,,6.5,722,45,6.7,1009,30,7.6,174,36,6.5,33,65,6.79,2519,52
43,地狱老师 OVA,地獄先生ぬ～べ～,Hell Teacher: Jigoku Sensei Nube,-0.172,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/2012.jpg,https://s4.anilist.co/file/anilistcdn/media/anime/banner/2012-8BtBvNe85st0.jpg,7.2,1029,30,6.8,22,28,7.2,493,45,7.3,47,36,6.68,1853,55
44,歌声是千层派,うたごえはミルフィーユ,Harmony of Mille-Feuille,-0.193,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx166215-3GkidWAYu5cr.png,,5.3,109,71,5.4,298,58,7.0,69,51,8.5,522056,7,6.13,315,72
45,最近的侦探真没用,まったく最近の探偵ときたら,Detectives These Days Are Crazy!,-0.222,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx180460-rZn4pp9YNqW0.jpg,https://s4.anilist.co/file/anilistcdn/media/anime/banner/180460-Id13IZ4FSBuf.jpg,6.7,1032,40,6.4,743,32,7.4,226,39,6.1,122,70,7.13,4280,40
46,噗妮露是可爱史莱姆 第二季,ぷにるはかわいいスライム 第2期,Puniru is a Kawaii Slime Season 2,-0.224,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx185755-xMle6RCAPwA6.png,https://s4.anilist.co/file/anilistcdn/media/anime/banner/185755-moB5bSDuJNm7.jpg,6.1,152,60,7.4,570,9,7.4,411,42,5.7,105,72,7.01,467,43
47,水属性的魔法师,水属性の魔法使い,The Water Magician,-0.33,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx186052-zq8h0Qo0O0sP.jpg,,6.8,2520,34,5.5,493,51,6.2,192,63,7.1,334,45,7.22,11472,34
48,水属性的魔法师,水属性の魔法使い,The Water Magician,-0.33,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx186052-zq8h0Qo0O0sP.jpg,,6.8,2520,35,5.5,493,52,6.2,192,64,7.1,334,47,7.22,11472,35
49,衣衫褴褛的大小姐受到姐姐前未婚夫的宠爱,ずたぼろ令嬢は姉の元婚約者に溺愛される,Betrothed to My Sister's Ex,-0.342,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx179879-569v3MdQeVmt.jpg,https://s4.anilist.co/file/anilistcdn/media/anime/banner/179879-LLw7UPZcd22x.jpg,6.8,805,36,4.7,78,71,6.4,145,60,7.6,92,26,7.2,3798,36
50,桃源暗鬼,桃源暗鬼,TOUGEN ANKI,-0.355,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx177474-oHil1yLWldfl.jpg,,6.8,1619,38,5.1,135,64,7.2,530,48,6.9,466,53,7.03,7134,41
51,Long Zu II: Daowangzhe Zhi Tong,龙族Ⅱ：悼亡者之瞳,Dragon Raja II -The Mourner's Eyes-,-0.421,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx157692-lihmnuJGcbM6.png,,6.5,125,49,4.1,57,74,5.8,279,70,7.7,1990,25,7.59,414,29
52,异世界默示录米诺戈拉 ～从灭亡的文明开始的世界征服～,異世界黙示録マイノグーラ ～破滅の文明で始める世界征服～,Apocalypse Bringer Mynoghra: World Conquest Starts with the Civilization of Ruin,-0.439,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx178433-8KzNsjTmdAvw.jpg,,6.7,1488,42,5.5,258,53,5.8,78,69,7.3,179,37,6.99,7034,45
53,杜鹃的婚约 第二季,カッコウの許嫁 Season2,A Couple of Cuckoos Season 2,-0.441,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx179828-Yc1b1R2dxQyc.jpg,,6.7,836,43,5.1,141,63,7.2,145,46,6.8,2353,59,7.01,3700,44
54,利维坦号战记,リヴァイアサン,Leviathan,-0.501,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx177887-CDAgIrZOQvZc.jpg,https://s4.anilist.co/file/anilistcdn/media/anime/banner/177887-wGy2HdlQdS9G.jpg,6.5,505,48,4.9,59,68,7.8,157,32,6.6,426,64,6.88,1663,47
55,阿松 第四季,おそ松さん 第4期,Mr. Osomatsu 4th Season,-0.623,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx145985-yIeSw33Stvnx.jpg,,4.8,63,73,5.5,28,55,7.6,220,37,7.4,500,33,6.65,352,59
56,SUGAR SUGAR RUNE: Les deux sorcières,SUGAR SUGAR RUNE: Les deux sorcières,Sugar Sugar Rune: Les deux sorcières,-0.625,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx195517-7rdcy3jbuW81.jpg,,6.3,133,53,5.6,19,49,6.8,1,52,,,,6.79,287,51
57,保龄球少女！,Turkey!,Turkey! Time to Strike,-0.649,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx159483-nQKJ2EEqoo8x.jpg,https://s4.anilist.co/file/anilistcdn/media/anime/banner/159483-XG5lHavBPS0w.jpg,5.8,576,68,6.0,764,39,7.6,200,38,6.5,26,67,6.27,1601,68
58,禁止出入的鼹鼠,出禁のモグラ,Dekin no Mogura: The Earthbound Mole,-0.65,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx184574-Mb2qvX1e3RgG.jpg,,5.7,438,69,5.9,194,42,8.0,325,25,7.0,54,50,6.15,1611,71
59,公爵千金的家庭教师,公女殿下の家庭教師,Private Tutor to the Duke's Daughter,-0.653,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx170113-dk9h9ybZnGnZ.jpg,,6.3,1069,51,5.8,524,43,5.4,99,71,7.4,110,30,6.65,4281,57
60,公爵千金的家庭教师,公女殿下の家庭教師,Private Tutor to the Duke's Daughter,-0.653,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx170113-dk9h9ybZnGnZ.jpg,,6.3,1069,54,5.8,524,45,5.4,99,72,7.4,110,32,6.65,4281,58
61,费马的料理,フェルマーの料理,Fermat Kitchen,-0.654,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx186003-scKw8JoTtnMT.jpg,,6.2,370,57,4.9,209,66,7.0,155,49,7.2,343,41,6.66,1429,56
62,肥宅勇者,ブサメンガチファイター,"Uglymug, Epicfighter",-0.721,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx184575-hEzI5V8o818U.png,,6.1,800,59,5.7,452,47,6.2,115,65,7.2,96,42,6.49,3988,63
63,为丑女献上花束。,ブスに花束を。,April Showers Bring May Flowers,-0.733,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx156395-LW98bhT54IuM.png,https://s4.anilist.co/file/anilistcdn/media/anime/banner/156395-V60PSAOKauDU.jpg,6.2,543,56,5.2,180,59,6.6,200,57,6.8,33,56,6.69,2079,54
64,双人单身露营,ふたりソロキャンプ,Solo Camping for Two,-0.785,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx185965-LlzTLSTBUbEA.jpg,https://s4.anilist.co/file/anilistcdn/media/anime/banner/185965-9YtD3BC30w26.jpg,6.1,727,62,5.6,184,50,6.4,131,62,6.4,41,68,6.52,2428,62
65,气绝勇者与暗杀公主,気絶勇者と暗殺姫,The Shy Hero and the Assassin Princesses,-0.804,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx186561-9qIZCSTYkAfw.jpg,,6.1,817,64,5.7,321,48,5.0,48,75,6.9,106,54,6.37,3988,66
66,强者的新传说,強くてニューサーガ,New Saga,-0.875,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx155838-0zx6MTeoo5sk.jpg,,6.3,1116,52,5.4,176,56,5.2,88,73,6.6,155,62,6.69,4909,53
67,转生成自动贩卖机的我今天也在迷宫徘徊 第二季,自動販売機に生まれ変わった俺は迷宮を彷徨う 2nd Season,"Reborn as a Vending Machine, I Now Wander the Dungeon Season 2",-0.897,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx169440-MhlOxaIyASRu.jpg,,6.2,809,55,5.1,129,61,6.6,102,56,6.3,1045,69,6.6,3525,60
68,活死喵之夜,ニャイト・オブ・ザ・リビングキャット,Nyaight of the Living Cat,-0.921,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx175124-eDYbn0W5F4to.jpg,https://s4.anilist.co/file/anilistcdn/media/anime/banner/175124-lxJPpMs1JGIc.jpg,6.1,591,61,5.1,208,62,6.8,206,53,6.5,135,66,6.33,2443,67
69,被驱逐出勇者队伍的白魔导师， 被S级冒险者捡到,勇者パーティーを追放された白魔導師、Sランク冒険者に拾われる ～この白魔導師が規格外すぎる～,Scooped Up by an S-Ranked Adventurer,-0.93,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx179885-m1nu1QvnRmII.jpg,,6.1,1094,63,4.6,219,72,6.0,133,67,7.4,99,35,6.46,5097,64
70,租借女友 第四季,彼女、お借りします 第4期,Rent-a-Girlfriend Season 4,-0.976,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx179344-GQzJfehpQI72.png,,6.0,1430,65,3.5,249,76,8.4,224,9,6.8,10440,58,6.2,6172,69
71,暗芝居 第十五季,闇芝居 十五期,Theatre of Darkness: Yamishibai 15,-0.988,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx194088-lzp3BHNx0tnY.png,,,,,5.0,9,65,6.0,13,68,7.0,1017,51,5.99,178,73
72,美男高校地球防卫部High collar！,美男高校地球防衛部ハイカラ！,Cute High Earth Defense Club Hi-CARA!,-1.029,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx188138-uflx1ZZo5XsE.jpg,,,,,4.8,12,70,6.6,36,58,7.1,149,48,5.98,177,74
73,9-nine- 支配者的王冠,9-nine- Ruler's Crown,,-1.334,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx177761-KdJxyWwdBdiS.jpg,,5.2,259,72,4.9,506,67,7.0,91,50,6.8,18,57,5.88,785,75
74,渡君的XX即将崩坏,渡くんの××が崩壊寸前,Watari-kun's ****** Is about to Collapse,-1.37,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx169420-u4wDhHlTfX9P.jpg,https://s4.anilist.co/file/anilistcdn/media/anime/banner/169420-jdvNFYe9Oa4v.jpg,5.9,1055,67,4.8,246,69,5.0,56,74,5.7,120,71,6.38,4424,65
75,杀手旅店,ホテル・インヒューマンズ,Hotel Inhumans,-1.494,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx184034-gjIi5TIHJpZv.jpg,https://s4.anilist.co/file/anilistcdn/media/anime/banner/184034-iqhrtWaMTlwA.jpg,6.0,488,66,5.4,161,57,6.0,163,66,4.9,30182,73,6.52,1790,61
76,黑化吧！圣女大人,傷だらけ聖女より報復をこめて,"With Vengeance, Sincerely, Your Broken Saintess",-1.749,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/b195209-IwHhCJUcmoK0.jpg,,5.3,176,70,3.9,58,75,6.4,61,61,,,,5.59,911,76
