排名,标题,英文标题,日文标题,综合评分,置信度,总投票数,网站数量,百分位数,类型,集数,开播日期,制作公司,类型标签,anilist_评分,anilist_投票数,anilist_排名,bangumi_评分,bangumi_投票数,bangumi_排名,douban_评分,douban_投票数,douban_排名,filmarks_评分,filmarks_投票数,filmarks_排名,imdb_评分,imdb_投票数,imdb_排名,mal_评分,mal_投票数,mal_排名
1,Kimetsu no Yaiba: Mugenjou-hen Movie 1 - Akaza Sairai,Demon Slayer: Kimetsu no Yaiba Infinity Castle,劇場版「鬼滅の刃」無限城編 第一章 猗窩座再来,1.436,0.901,255804,6,100.0,Movie,1.0,2025-07-18,"Aniplex, ufotable, ufotable, Shueisha","Action, Adventure, Drama, Supernatural",8.6,3508.0,3.0,7.7,553.0,6.0,8.8,13973.0,6.0,8.4,33829,11,8.6,196918.0,4.0,8.77,7023,2
2,Kimetsu no Yaiba Movie: Mugen Jou-hen,Demon Slayer: Kimetsu no Yaiba Infinity Castle,劇場版 鬼滅の刃 無限城編,1.436,0.901,255804,6,98.7,Movie,3.0,2025-07-18,ufotable,"Action, Historical, Shounen, Supernatural",8.6,3508.0,4.0,7.7,553.0,7.0,8.8,13973.0,7.0,8.4,33829,12,8.6,196918.0,5.0,8.77,7023,3
3,Takopii no Genzai,Takopi's Original Sin,タコピーの原罪,1.344,0.864,152822,6,97.4,ONA,6.0,2025-06-28,"ENISHIYA, TBS","Drama, Psychological, Sci-Fi",8.7,22666.0,1.0,7.0,7075.0,17.0,8.0,9137.0,16.0,8.2,10208,13,9.0,16383.0,1.0,8.9,87353,1
4,Grand Blue Season 2,Grand Blue Dreaming Season 2,ぐらんぶる Season 2,1.303,0.741,27987,6,96.2,TV,12.0,2025-07-08,"Zero-G, Liber, NBCUniversal Entertainment Japan, Avex Pictures, Kodansha, JR Higashi Nihon Kikaku, Zero-G, Mainichi Broadcasting System, qooop, Saber Links","Comedy, Slice of Life, Sports",8.3,2704.0,6.0,7.6,2391.0,9.0,8.8,1558.0,5.0,8.6,497,7,7.9,5647.0,18.0,8.68,15190,5
5,Kaoru Hana wa Rin to Saku,The Fragrant Flower Blooms With Dignity,薫る花は凛と咲く,1.293,0.781,48538,6,94.9,TV,13.0,2025-07-06,"Aniplex, CloverWorks, Kodansha, TOKYO MX, CloverWorks, BS11, Movic, Marui Group","Comedy, Drama, Romance",8.6,7429.0,2.0,7.0,1519.0,19.0,8.1,1500.0,12.0,8.2,1528,15,8.8,2935.0,2.0,8.73,33627,4
6,Guimi Zhi Zhu: Xiaochou Pian,Lord of Mysteries,诡秘之主 小丑篇,1.278,0.499,30929,4,93.6,ONA,13.0,2025-06-28,B.CMAY PICTURES,"Action, Adult Cast, Fantasy, Isekai, Mystery, Suspense, Urban Fantasy",8.2,4417.0,7.0,6.1,224.0,37.0,,,,6.6,32,55,8.7,7596.0,3.0,8.58,18692,6
7,Sono Bisque Doll wa Koi wo Suru Season 2,My Dress-Up Darling Season 2,その着せ替え人形は恋をする Season 2,1.246,0.803,65798,6,92.3,TV,12.0,2025-07-06,"Aniplex, CloverWorks, Movic, TOKYO MX, BS11, CloverWorks, Square Enix","Comedy, Ecchi, Romance, Slice of Life",8.2,7374.0,8.0,7.8,2255.0,2.0,8.9,1421.0,4.0,8.6,1478,5,7.9,20979.0,17.0,8.39,32291,8
8,Seishun Buta Yarou wa Santa Claus no Yume wo Minai,Rascal Does Not Dream of Santa Claus,青春ブタ野郎はサンタクロースの夢を見ない,1.13,0.71,18294,6,91.0,TV,13.0,2025-07-05,"Aniplex, CloverWorks, ABC Animation, Nagoya Broadcasting Network, CloverWorks, TOKYO MX, KADOKAWA, BS11","Drama, Mystery, Psychological, Romance, Supernatural",8.1,2657.0,10.0,7.1,1170.0,14.0,8.4,676.0,10.0,8.8,458,3,8.4,815.0,7.0,8.29,12518,9
9,New PANTY & STOCKING with GARTERBELT,New PANTY & STOCKING with GARTERBELT,New PANTY&STOCKING with GARTERBELT,1.061,0.89,219989,6,89.7,TV,13.0,2025-07-10,"TRIGGER, KADOKAWA, Good Smile Company, ANICI, Ultra Super Pictures","Action, Comedy, Ecchi, Supernatural",8.0,1355.0,13.0,8.2,2255.0,1.0,9.1,1677.0,1.0,9.0,429,1,7.3,3470.0,34.0,7.74,210803,22
10,Yofukashi no Uta Season 2,Call of the Night Season 2,よふかしのうた Season 2,1.027,0.735,25852,6,88.5,TV,12.0,2025-07-04,"LIDENFILMS, Fuji TV, Aniplex, Shogakukan, Shogakukan-Shueisha Productions, Ultra Super Pictures, Tohan, Animax Broadcast Japan, Dentsu, Fuji Creative Corporation","Comedy, Psychological, Romance, Slice of Life, Supernatural",8.1,3559.0,9.0,7.7,1238.0,5.0,9.0,495.0,2.0,7.8,600,28,7.4,5263.0,29.0,8.26,14697,10
11,My Melody & Kuromi,My Melody & Kuromi,My Melody & Kuromi,1.011,0.393,3473,4,87.2,ONA,12.0,2025-07-24,"Sanrio, Netflix, WIT STUDIO","Fantasy, Slice of Life",7.8,573.0,18.0,6.8,36.0,30.0,,,,8.6,1194,8,8.3,412.0,9.0,7.94,1294,16
12,Hikaru ga Shinda Natsu,The Summer Hikaru Died,光が死んだ夏,0.993,0.762,37167,6,85.9,TV,12.0,2025-07-06,"KADOKAWA, CygamesPictures, Netflix, CyberAgent, CygamesPictures, Nippon Television Network","Horror, Mystery, Psychological, Supernatural, Thriller",8.0,5118.0,11.0,7.0,1125.0,20.0,8.7,3901.0,8.0,8.2,2699,16,8.1,2172.0,13.0,8.16,22152,12
13,CITY THE ANIMATION,CITY THE ANIMATION,CITY THE ANIMATION,0.959,0.7,15927,6,84.6,TV,13.0,2025-07-07,"Kyoto Animation, Kyoto Animation, ABC Animation, Pony Canyon, Kodansha","Comedy, Slice of Life",7.8,2331.0,16.0,7.6,2892.0,8.0,9.0,2964.0,3.0,8.0,654,23,7.6,203.0,26.0,7.89,6883,19
14,Ruri no Houseki,Ruri Rocks,瑠璃の宝石,0.827,0.67,10480,6,83.3,TV,13.0,2025-07-06,"Aniplex, Studio Bind, KADOKAWA, TOKYO MX, BS11, AT-X, FuRyu, Movic, Bit Grooove Promotion, EGG FIRM","Adventure, Slice of Life",7.5,1627.0,23.0,7.8,2085.0,3.0,8.1,375.0,13.0,8.6,623,6,7.7,115.0,22.0,7.71,5655,23
15,Dandadan 2nd Season,DAN DA DAN Season 2,ダンダダン 第2期,0.785,0.802,64825,6,82.1,TV,12.0,2025-07-04,"Science SARU, Mainichi Broadcasting System, Science SARU, Shueisha, Dentsu, Aniplex, Shogakukan-Shueisha Productions","Action, Comedy, Drama, Romance, Sci-Fi, Supernatural",8.3,9949.0,5.0,7.3,1925.0,12.0,6.8,2463.0,27.0,8.2,2462,14,7.1,1598.0,37.0,8.52,46428,7
16,Dr. STONE: SCIENCE FUTURE Part 2,Dr. STONE SCIENCE FUTURE Cour 2,Dr.STONE SCIENCE FUTURE 2クール,0.782,0.705,17094,6,80.8,TV,12.0,2025-07-10,"TMS Entertainment, Toho, TMS Entertainment, Shueisha","Action, Adventure, Comedy, Sci-Fi",8.0,2799.0,12.0,7.1,367.0,16.0,8.5,350.0,9.0,7.0,703,50,7.4,157.0,32.0,8.22,12718,11
17,Gachiakuta,Gachiakuta,ガチアクタ,0.705,0.643,42607,5,79.5,TV,24.0,2025-07-06,"bones, Avex Pictures, bones film, Kodansha, DMM.com, CBC TV, Dentsu, Com2uS","Action, Drama, Fantasy",7.8,6168.0,15.0,5.8,415.0,43.0,,,,7.8,1103,30,8.2,3179.0,10.0,8.05,31742,13
