排名,中文名,日文名,英文名,综合评分,海报图片,横幅图片,ANILIST_评分,ANILIST_投票数,ANILIST_排名,BANGUMI_评分,BANGUMI_投票数,BANGUMI_排名,DOUBAN_评分,DOUBAN_投票数,DOUBAN_排名,FILMARKS_评分,FILMARKS_投票数,FILMARKS_排名,IMDB_评分,IMDB_投票数,IMDB_排名,MAL_评分,MAL_投票数,MAL_排名
1,剧场版 鬼灭之刃 无限城篇 第一章 猗窝座再袭,劇場版「鬼滅の刃」無限城編 第一章 猗窩座再来,Demon Slayer: Kimetsu no Yaiba Infinity Castle,1.436,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx178788-zm3gtpB9TpRt.jpg,https://s4.anilist.co/file/anilistcdn/media/anime/banner/178788-tSHb5MiaNBNL.jpg,8.6,3508,3,7.7,553,6,8.8,13973,6,8.4,33829,11,8.6,196918,4,8.77,7023,2
2,剧场版 鬼灭之刃 无限城篇 第一章 猗窝座再袭,劇場版 鬼滅の刃 無限城編,Demon Slayer: Kimetsu no Yaiba Infinity Castle,1.436,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/default.jpg,https://s4.anilist.co/file/anilistcdn/media/anime/banner/178788-tSHb5MiaNBNL.jpg,8.6,3508,4,7.7,553,7,8.8,13973,7,8.4,33829,12,8.6,196918,5,8.77,7023,3
3,章鱼哔的原罪,タコピーの原罪,Takopi's Original Sin,1.344,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx185407-7uzY4fA3hokP.jpg,https://s4.anilist.co/file/anilistcdn/media/anime/banner/185407-WOKgyadY4Pr1.jpg,8.7,22666,1,7.0,7075,17,8.0,9137,16,8.2,10208,13,9.0,16383,1,8.9,87353,1
4,碧蓝之海 第二季,ぐらんぶる Season 2,Grand Blue Dreaming Season 2,1.303,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx182309-tThxqSRn3At1.jpg,https://s4.anilist.co/file/anilistcdn/media/anime/banner/182309-kvcHexJjshIV.jpg,8.3,2704,6,7.6,2391,9,8.8,1558,5,8.6,497,7,7.9,5647,18,8.68,15190,5
5,薰香花朵凛然绽放,薫る花は凛と咲く,The Fragrant Flower Blooms With Dignity,1.293,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx181444-Ut9DDUZdfHwg.jpg,https://s4.anilist.co/file/anilistcdn/media/anime/banner/181444-SBhwJNPxjHrr.jpg,8.6,7429,2,7.0,1519,19,8.1,1500,12,8.2,1528,15,8.8,2935,2,8.73,33627,4
6,诡秘之主 小丑篇,诡秘之主 小丑篇,Lord of Mysteries,1.278,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx137667-zHFOF6qbpksP.jpg,https://s4.anilist.co/file/anilistcdn/media/anime/banner/137667-AhUoT3NFgbif.jpg,8.2,4417,7,6.1,224,37,,,,6.6,32,55,8.7,7596,3,8.58,18692,6
7,更衣人偶坠入爱河 第二季,その着せ替え人形は恋をする Season 2,My Dress-Up Darling Season 2,1.246,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx154768-DHHvNd4MjV1p.jpg,https://s4.anilist.co/file/anilistcdn/media/anime/banner/154768-EuZd63IcqsVq.jpg,8.2,7374,8,7.8,2255,2,8.9,1421,4,8.6,1478,5,7.9,20979,17,8.39,32291,8
8,青春笨蛋少年不做圣诞服女郎的梦,青春ブタ野郎はサンタクロースの夢を見ない,Rascal Does Not Dream of Santa Claus,1.13,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx171046-9leqLiNuOqNu.png,https://s4.anilist.co/file/anilistcdn/media/anime/banner/171046-PjeeUUfeaVyR.jpg,8.1,2657,10,7.1,1170,14,8.4,676,10,8.8,458,3,8.4,815,7,8.29,12518,9
9,新 吊带袜天使,New PANTY&STOCKING with GARTERBELT,New PANTY & STOCKING with GARTERBELT,1.061,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx151799-igwbH3AffgHc.jpg,https://s4.anilist.co/file/anilistcdn/media/anime/banner/151799-WsBD1zyaha5p.jpg,8.0,1355,13,8.2,2255,1,9.1,1677,1,9.0,429,1,7.3,3470,34,7.74,210803,22
10,彻夜之歌 第二季,よふかしのうた Season 2,Call of the Night Season 2,1.027,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx175914-VsbL90WzuqoM.jpg,https://s4.anilist.co/file/anilistcdn/media/anime/banner/175914-K0Hw6bg3Tf5i.jpg,8.1,3559,9,7.7,1238,5,9.0,495,2,7.8,600,28,7.4,5263,29,8.26,14697,10
