Rank,Title,Title_Chinese,Title_English,Title_Japanese,Composite_Score,Confidence,Total_Votes,Website_Count,Percentile,Type,Episodes,Start_Date,Studios,Genres,ANILIST_Score,ANILIST_Votes,ANILIST_Rank,BANGUMI_Score,BANGUMI_Votes,BANGUMI_Rank,DOUBAN_Score,DOUBAN_Votes,DOUBAN_Rank,FILMARKS_Score,FILMARKS_Votes,FILMARKS_Rank,IMDB_Score,IMDB_Votes,IMDB_Rank,MAL_Score,MAL_Votes,MAL_Rank
1,Takopii no Genzai,章鱼哔的原罪,Takopi's Original Sin,タコピーの原罪,1.344,0.864,152822,6,100.0,ONA,6,2025-06-28,"ENISHIYA, TBS","Drama, Psychological, Sci-Fi",8.7,22666,1,7.0,7075,14,8.0,9137,13,8.2,10208,10,9.0,16383,1,8.9,87353,1
2,Grand Blue Season 2,碧蓝之海 第二季,Grand Blue Dreaming Season 2,ぐらんぶる Season 2,1.303,0.741,27987,6,98.46153846153847,TV,12,2025-07-08,"Zero-G, Liber, NBCUniversal Entertainment Japan, Avex Pictures, Kodansha, JR Higashi Nihon Kikaku, Zero-G, Mainichi Broadcasting System, qooop, Saber Links","Comedy, Slice of Life, Sports",8.3,2704,3,7.6,2391,6,8.8,1558,5,8.6,497,5,7.9,5647,12,8.68,15190,3
3,Kaoru Hana wa Rin to Saku,薰香花朵凛然绽放,The Fragrant Flower Blooms With Dignity,薫る花は凛と咲く,1.293,0.781,48538,6,96.92307692307692,TV,13,2025-07-06,"Aniplex, CloverWorks, Kodansha, TOKYO MX, CloverWorks, BS11, Movic, Marui Group","Comedy, Drama, Romance",8.6,7429,2,7.0,1519,15,8.1,1500,10,8.2,1528,11,8.8,2935,2,8.73,33627,2
4,Guimi Zhi Zhu: Xiaochou Pian,诡秘之主 小丑篇,Lord of Mysteries,诡秘之主 小丑篇,1.278,0.499,30929,4,95.38461538461539,ONA,13,2025-06-28,B.CMAY PICTURES,"Action, Adult Cast, Fantasy, Isekai, Mystery, Suspense, Urban Fantasy",8.2,4417,5,6.1,224,30,,,,6.6,32,47,8.7,7596,3,8.58,18692,4
5,Sono Bisque Doll wa Koi wo Suru Season 2,更衣人偶坠入爱河 第二季,My Dress-Up Darling Season 2,その着せ替え人形は恋をする Season 2,1.246,0.803,65798,6,93.84615384615384,TV,12,2025-07-06,"Aniplex, CloverWorks, Movic, TOKYO MX, BS11, CloverWorks, Square Enix","Comedy, Ecchi, Romance, Slice of Life",8.2,7374,6,7.8,2255,2,8.9,1421,4,8.6,1478,6,7.9,20979,13,8.39,32291,6
6,Seishun Buta Yarou wa Santa Claus no Yume wo Minai,青春笨蛋少年不做圣诞服女郎的梦,Rascal Does Not Dream of Santa Claus,青春ブタ野郎はサンタクロースの夢を見ない,1.13,0.71,18294,6,92.3076923076923,TV,13,2025-07-05,"Aniplex, CloverWorks, ABC Animation, Nagoya Broadcasting Network, CloverWorks, TOKYO MX, KADOKAWA, BS11","Drama, Mystery, Psychological, Romance, Supernatural",8.1,2657,7,7.1,1170,12,8.4,676,8,8.8,458,2,8.4,815,5,8.29,12518,7
7,New PANTY & STOCKING with GARTERBELT,新 吊带袜天使,New PANTY & STOCKING with GARTERBELT,New PANTY&STOCKING with GARTERBELT,1.061,0.89,219989,6,90.76923076923077,TV,13,2025-07-10,"TRIGGER, KADOKAWA, Good Smile Company, ANICI, Ultra Super Pictures","Action, Comedy, Ecchi, Supernatural",8.0,1355,9,8.2,2255,1,9.1,1677,1,9.0,429,1,7.3,3470,27,7.74,210803,18
8,Yofukashi no Uta Season 2,彻夜之歌 第二季,Call of the Night Season 2,よふかしのうた Season 2,1.027,0.735,25852,6,89.23076923076924,TV,12,2025-07-04,"LIDENFILMS, Fuji TV, Aniplex, Shogakukan, Shogakukan-Shueisha Productions, Ultra Super Pictures, Tohan, Animax Broadcast Japan, Dentsu, Fuji Creative Corporation","Comedy, Psychological, Romance, Slice of Life, Supernatural",8.1,3559,8,7.7,1238,5,9.0,495,2,7.8,600,22,7.4,5263,22,8.26,14697,8
9,Hikaru ga Shinda Natsu,光死去的夏天,The Summer Hikaru Died,光が死んだ夏,0.993,0.762,37167,6,87.6923076923077,TV,12,2025-07-06,"KADOKAWA, CygamesPictures, Netflix, CyberAgent, CygamesPictures, Nippon Television Network","Horror, Mystery, Psychological, Supernatural, Thriller",8.0,5118,10,7.0,1125,16,8.7,3901,6,8.2,2699,12,8.1,2172,9,8.16,22152,10
10,CITY THE ANIMATION,小城日常,CITY THE ANIMATION,CITY THE ANIMATION,0.959,0.7,15927,6,86.15384615384616,TV,13,2025-07-07,"Kyoto Animation, Kyoto Animation, ABC Animation, Pony Canyon, Kodansha","Comedy, Slice of Life",7.8,2331,12,7.6,2892,7,9.0,2964,3,8.0,654,16,7.6,203,20,7.89,6883,16
11,Ruri no Houseki,琉璃的宝石,Ruri Rocks,瑠璃の宝石,0.827,0.67,10480,6,84.61538461538461,TV,13,2025-07-06,"Aniplex, Studio Bind, KADOKAWA, TOKYO MX, BS11, AT-X, FuRyu, Movic, Bit Grooove Promotion, EGG FIRM","Adventure, Slice of Life",7.5,1627,19,7.8,2085,3,8.1,375,11,8.6,623,7,7.7,115,17,7.71,5655,19
12,Dandadan 2nd Season,胆大党 第二季,DAN DA DAN Season 2,ダンダダン 第2期,0.785,0.802,64825,6,83.07692307692308,TV,12,2025-07-04,"Science SARU, Mainichi Broadcasting System, Science SARU, Shueisha, Dentsu, Aniplex, Shogakukan-Shueisha Productions","Action, Comedy, Drama, Romance, Sci-Fi, Supernatural",8.3,9949,4,7.3,1925,10,6.8,2463,23,8.2,2462,13,7.1,1598,31,8.52,46428,5
13,Dr. STONE: SCIENCE FUTURE Part 2,石纪元 科学与未来 第2部分,Dr. STONE SCIENCE FUTURE Cour 2,Dr.STONE SCIENCE FUTURE 2クール,0.782,0.705,17094,6,81.53846153846153,TV,12,2025-07-10,"TMS Entertainment, Toho, TMS Entertainment, Shueisha","Action, Adventure, Comedy, Sci-Fi",8.0,2799,11,7.1,367,13,8.5,350,7,7.0,703,39,7.4,157,23,8.22,12718,9
14,Gachiakuta,咔嗒咔嗒,Gachiakuta,ガチアクタ,0.705,0.643,42607,5,80.0,TV,24,2025-07-06,"bones, Avex Pictures, bones film, Kodansha, DMM.com, CBC TV, Dentsu, Com2uS","Action, Drama, Fantasy",7.8,6168,13,5.8,415,34,,,,7.8,1103,23,8.2,3179,7,8.05,31742,11
15,Silent Witch: Chinmoku no Majo no Kakushigoto,Silent Witch 沉默魔女的秘密,Secrets of the Silent Witch,サイレント・ウィッチ 沈黙の魔女の隠しごと,0.701,0.603,21836,5,78.46153846153847,TV,13,2025-07-05,"Aniplex, KADOKAWA, Studio Gokumi, TOKYO MX, BS11, Movic","Adventure, Fantasy",7.8,3459,14,7.0,2190,17,,,,7.8,699,24,7.1,407,32,8.02,15081,12
