Rank,Title,Title_English,Title_Japanese,Type,Episodes,Start_Date,Studios,Genres,Composite_Score,Confidence,Total_Votes,Website_Count,ANILIST_Score,ANILIST_Votes,BANGUMI_Score,BANGUMI_Votes,DOUBAN_Score,DOUBAN_Votes,FILMARKS_Score,FILMARKS_Votes,IMDB_Score,IMDB_Votes,MAL_Score,MAL_Votes
1,Grand Blue Season 2,Grand Blue Dreaming Season 2,ぐらんぶる Season 2,TV,12,2025-07-08,"Zero-G, Liber, NBCUniversal Entertainment Japan, Avex Pictures, Kodansha, JR Higashi Nihon Kikaku, Zero-G, Mainichi Broadcasting System, qooop, Saber Links","Comedy, Slice of Life, Sports",1.356514,0.741162,27987,6,8.3,2704,7.6,2391,8.8,1558,8.6,497,7.9,5647,8.68,15190
2,Takopii no Genzai,Takopi's Original Sin,タコピーの原罪,ONA,6,2025-06-28,"ENISHIYA, TBS","Drama, Psychological, Sci-Fi",1.345711,0.864031,152821,6,8.7,22665,7.0,7075,8.0,9137,8.2,10208,9.0,16383,8.9,87353
3,Kaoru Hana wa Rin to Saku,The Fragrant Flower Blooms With Dignity,薫る花は凛と咲く,TV,13,2025-07-06,"Aniplex, CloverWorks, Kodansha, TOKYO MX, CloverWorks, BS11, Movic, Marui Group","Comedy, Drama, Romance",1.303223,0.781015,48538,6,8.6,7429,7.0,1519,8.1,1500,8.2,1528,8.8,2935,8.73,33627
4,Sono Bisque Doll wa Koi wo Suru Season 2,My Dress-Up Darling Season 2,その着せ替え人形は恋をする Season 2,TV,12,2025-07-06,"Aniplex, CloverWorks, Movic, TOKYO MX, BS11, CloverWorks, Square Enix","Comedy, Ecchi, Romance, Slice of Life",1.299303,0.803037,65798,6,8.2,7374,7.8,2255,8.9,1421,8.6,1478,7.9,20979,8.39,32291
5,Guimi Zhi Zhu: Xiaochou Pian,Lord of Mysteries,诡秘之主 小丑篇,ONA,13,2025-06-28,B.CMAY PICTURES,"Action, Adult Cast, Fantasy, Isekai, Mystery, Suspense, Urban Fantasy",1.291993,0.498931,30929,4,8.2,4417,6.1,224,,,,,8.7,7596,8.58,18692
6,Dandadan 2nd Season,DAN DA DAN Season 2,ダンダダン 第2期,TV,12,2025-07-04,"Science SARU, Mainichi Broadcasting System, Science SARU, Shueisha, Dentsu, Aniplex, Shogakukan-Shueisha Productions","Action, Comedy, Drama, Romance, Sci-Fi, Supernatural",1.269406,0.836458,104410,6,8.3,9949,7.3,1925,8.8,3525,8.2,2462,8.3,40121,8.52,46428
7,Seishun Buta Yarou wa Santa Claus no Yume wo Minai,Rascal Does Not Dream of Santa Claus,青春ブタ野郎はサンタクロースの夢を見ない,TV,13,2025-07-05,"Aniplex, CloverWorks, ABC Animation, Nagoya Broadcasting Network, CloverWorks, TOKYO MX, KADOKAWA, BS11","Drama, Mystery, Psychological, Romance, Supernatural",1.156145,0.710389,18294,6,8.1,2657,7.1,1170,8.4,676,8.8,458,8.4,815,8.29,12518
8,New PANTY & STOCKING with GARTERBELT,New PANTY & STOCKING with GARTERBELT,New PANTY&STOCKING with GARTERBELT,TV,13,2025-07-10,"TRIGGER, KADOKAWA, Good Smile Company, ANICI, Ultra Super Pictures","Action, Comedy, Ecchi, Supernatural",1.135325,0.8904,219989,6,8.0,1355,8.2,2255,9.1,1677,9.0,429,7.3,3470,7.74,210803
9,Yofukashi no Uta Season 2,Call of the Night Season 2,よふかしのうた Season 2,TV,12,2025-07-04,"LIDENFILMS, Fuji TV, Aniplex, Shogakukan, Shogakukan-Shueisha Productions, Ultra Super Pictures, Tohan, Animax Broadcast Japan, Dentsu, Fuji Creative Corporation","Comedy, Psychological, Romance, Slice of Life, Supernatural",1.091568,0.735418,25852,6,8.1,3559,7.7,1238,9.0,495,7.8,600,7.4,5263,8.26,14697
10,Hikaru ga Shinda Natsu,The Summer Hikaru Died,光が死んだ夏,TV,12,2025-07-06,"KADOKAWA, CygamesPictures, Netflix, CyberAgent, CygamesPictures, Nippon Television Network","Horror, Mystery, Psychological, Supernatural, Thriller",1.023909,0.761695,37167,6,8.0,5118,7.0,1125,8.7,3901,8.2,2699,8.1,2172,8.16,22152
